country_code,crop,year_min,year_max,region_count,completeness,country_name
AD,6,2001,2018,42,75.0,AND
AE,41,2005,2016,227,75.0,ARE
AF,12,2007,2023,395,100.0,AFG
AL,14,2004,2018,168,100.0,ALB
AM,27,2003,2016,297,100.0,ARM
AO,29,1997,2017,360,100.0,AGO
AR,32,1982,2018,4624,100.0,ARG
AT,26,1982,2017,234,75.0,AUT
AU,20,1982,2024,118,100.0,AUS
AZ,17,2000,2016,701,75.0,AZE
BA,45,2002,2017,45,100.0,BIH
BD,77,1982,2023,4337,100.0,BGD
BE,36,2009,2017,360,75.0,BEL
BF,15,1984,2022,654,100.0,BFA
BG,23,2012,2016,138,100.0,BGR
BI,23,1996,2016,350,75.0,BDI
BJ,35,1970,2021,2619,100.0,BEN
BN,3,2000,2017,15,100.0,BRN
BO,72,1984,2016,500,75.0,BOL
BT,31,1989,2016,620,75.0,BTN
BW,11,1987,2015,255,100.0,BWA
BY,8,2005,2018,658,100.0,BLR
BZ,49,2001,2023,294,75.0,BLZ
CA,61,1982,2019,480,100.0,CAN
CD,5,2005,2016,338,75.0,COD
CF,5,2015,2017,80,100.0,CAF
CI,54,1980,2018,335,100.0,CIV
CL,29,1990,2018,306,100.0,CHL
CM,26,1998,2011,935,100.0,CMR
CN,69,1980,2018,981,100.0,CHN
CO,183,2006,2017,17840,100.0,COL
CR,14,1981,2019,308,100.0,CRI
CU,38,1982,2017,414,100.0,CUB
CV,20,1987,2016,20,100.0,CPV
CZ,11,2002,2017,154,75.0,CZE
DK,31,2000,2019,172,100.0,DNK
DO,48,2002,2016,400,100.0,DOM
DZ,44,1999,2018,44,100.0,DZA
EC,34,2002,2017,860,100.0,ECU
EE,25,2004,2017,375,100.0,EST
EG,108,1980,2018,2180,100.0,EGY
ER,17,1993,2014,93,75.0,ERI
ES,106,1998,2017,3898,100.0,ESP
ET,50,1995,2023,4858,100.0,ETH
FI,17,1999,2017,272,100.0,FIN
FR,78,2000,2018,7797,100.0,FRA
GB,18,2001,2019,172,100.0,GBR
GE,33,2004,2019,244,100.0,GEO
GF,38,2014,2016,38,75.0,GUF
GH,18,1984,2022,235,100.0,GHA
GM,13,1988,2012,63,100.0,GMB
GN,5,2008,2015,137,25.0,GIN
GR,74,2000,2017,5557,75.0,GRC
GT,26,2002,2018,503,75.0,GTM
GY,1,2003,2016,1,100.0,GUY
HN,4,1998,2010,4,75.0,HND
HR,19,2005,2016,38,75.0,HRV
HT,18,2001,2017,182,75.0,HTI
HU,10,2000,2017,200,100.0,HUN
ID,58,1993,2017,1726,100.0,IDN
IE,11,1991,2017,87,25.0,IRL
IL,73,1990,2018,73,100.0,ISR
IQ,8,2010,2017,127,100.0,IRQ
IR,25,2007,2016,643,100.0,IRN
IS,10,1982,2016,10,25.0,ISL
IT,18,2006,2017,1998,75.0,ITA
JM,60,1999,2016,60,100.0,JAM
JO,64,1994,2018,1024,100.0,JOR
JP,79,1975,2016,3101,75.0,JPN
KE,45,1966,2023,1268,100.0,KEN
KG,13,1991,2016,102,75.0,KGZ
KH,134,1999,2017,3272,100.0,KHM
KR,20,1982,2017,293,75.0,KOR
KZ,21,2004,2022,248,100.0,KAZ
LA,12,1980,2017,216,100.0,LAO
LB,95,1998,2010,591,100.0,LBN
LK,59,1979,2024,1494,100.0,LKA
LR,2,1995,2015,30,100.0,LBR
LS,9,1981,2022,90,100.0,LSO
LT,28,1995,2017,280,100.0,LTU
LV,36,1990,2019,86,75.0,LVA
LY,8,1990,1996,8,75.0,LBY
MA,36,1997,2016,1086,100.0,MAR
MD,12,2007,2016,420,75.0,MDA
ME,25,2001,2016,25,75.0,MNE
MG,51,1964,2019,2287,100.0,MDG
MK,28,2005,2018,2268,75.0,MKD
ML,20,1974,2022,125,100.0,MLI
MM,39,1999,2018,464,100.0,MMR
MN,25,1981,2016,474,100.0,MNG
MR,7,1989,2019,51,100.0,MRT
MU,44,1984,2017,136,100.0,MUS
MW,38,1983,2023,942,75.0,MWI
MX,235,1982,2015,36799,100.0,MEX
MY,7,1993,2016,53,100.0,MYS
MZ,58,1999,2022,988,100.0,MOZ
NE,44,1980,2023,3181,100.0,NER
NG,21,1999,2023,702,75.0,NGA
NI,15,2000,2012,169,75.0,NIC
NL,18,1994,2017,216,100.0,NLD
NO,5,2001,2017,89,100.0,NOR
NP,43,2000,2016,2372,75.0,NPL
NZ,16,1984,2016,293,100.0,NZL
OM,27,2014,2016,27,75.0,OMN
PA,48,1981,2018,298,100.0,PAN
PE,202,1982,2018,10650,100.0,PER
PG,45,1982,2018,376,100.0,PNG
PH,64,1987,2017,3983,100.0,PHL
PL,32,2000,2019,576,75.0,POL
PT,27,1986,2017,243,100.0,PRT
PY,38,2000,2016,646,75.0,PRY
QA,27,1993,2016,27,100.0,QAT
RO,19,1990,2016,691,75.0,ROU
RS,43,1990,2016,198,75.0,SRB
RU,7,1990,2018,210,75.0,RUS
RW,41,1984,2017,1277,75.0,RWA
SA,20,1996,2012,231,75.0,SAU
SD,13,1975,2024,197,100.0,SDN
SE,12,1990,2017,312,75.0,SWE
SI,18,2007,2018,36,75.0,SVN
SK,35,1980,2018,106,75.0,SVK
SL,16,1986,2016,199,100.0,SLE
SN,18,1960,2022,426,100.0,SEN
SO,10,1983,2024,402,100.0,SOM
SR,30,1980,2018,30,100.0,SUR
SS,1,2012,2018,89,100.0,SSD
SV,57,1998,2022,559,100.0,SLV
SY,31,1991,2017,386,75.0,SYR
SZ,21,1993,2013,82,75.0,SWZ
TD,13,1983,2017,194,75.0,TCD
TG,19,1990,2021,378,100.0,TGO
TH,22,2004,2025,834,100.0,THA
TJ,48,1985,2018,55,100.0,TJK
TL,27,1980,2018,27,100.0,TLS
TM,8,2000,2013,22,75.0,TKM
TN,7,1980,2018,140,100.0,TUN
TR,27,1992,2016,1419,100.0,TUR
TT,33,2003,2017,58,100.0,TTO
TZ,33,1989,2015,2884,99.24242424242425,TZA
UA,56,1990,2023,1366,100.0,UKR
UG,17,1990,2009,1030,100.0,UGA
US,76,1990,2018,860,100.0,USA
UY,37,1990,2019,90,100.0,URY
UZ,70,1992,2018,135,100.0,UZB
VE,34,1984,2010,2088,100.0,VEN
VN,7,1995,2023,392,100.0,VNM
YE,53,1990,2019,1063,99.52830188679245,YEM
ZA,10,1979,2022,82,100.0,ZAF
ZM,39,1976,2023,2030,100.0,ZMB
ZW,19,1981,2022,2455,100.0,ZWE
